,Step,Global_Price,Marginal_Cost,Cheapest_Active_Cost,Total_Processor_Inventory,Total_Mine_Output,Total_Recycled_Supply,Disrupted_Mines_Count,Mothballed_Mines_Count,Total_Consumer_Demand_Units,Fulfilled_Demand_Units,Unfulfilled_Demand_Units,Avg_Manufacturer_Intensity,Total_Reserves,Embargoed_Mines_Count,Total_Embargoed_Production,Total_Domestic_Stockpile,Closed_Chokepoints_Count,Total_In_Transit_Tons,Total_Product_Units_In_Transit
0,0,30355470.00738422,21000000.0,10500000.0,6.1811538461538476,3.9766104859317983,0.0,0,0,1602564.102564103,1602564.102564103,0.0,2.9999999999999992e-06,34606.02338951407,0,0.0,0.0,0,9.81576923076923,0.0
1,1,30660411.169464286,21000000.0,10500000.0,6.1811538461538476,4.000947991371078,0.0,0,0,1604590.2382947477,1604590.2382947477,0.0,2.9999999999999992e-06,34603.06130250785,0,0.0,0.0,0,21.417401143883,4810774.161735701
2,2,30921487.755713254,21000000.0,10500000.0,6.1811538461538476,4.021133786915371,0.0,1,0,1606620.3493365399,1606620.3493365399,0.0,2.9999999999999992e-06,34600.17925621507,0,0.0,0.0,0,17.689146436743265,3159403.190360337
3,3,31144338.74293237,21000000.0,10500000.0,6.1811538461538476,4.038530927758393,0.0,1,0,1608653.9162918911,1203991.397224551,404662.51906734175,2.9999999999999992e-06,34597.28001260083,0,0.0,0.0,0,24.415640312083518,4729286.342724697
4,4,31333984.155261736,21000000.0,10500000.0,6.1811538461538476,4.0534973448576235,0.0,1,0,1610690.499506084,887069.4177832465,723621.081722837,2.9999999999999992e-06,34594.3660024273,0,0.0,0.0,0,11.2637721891936,2069227.98461138
5,5,31494907.597031288,21000000.0,10500000.0,6.1811538461538476,4.066351773017349,0.0,1,0,1612729.7068854698,1308517.4797620964,304212.2271233741,2.9999999999999992e-06,34591.439337721844,0,0.0,0.0,0,12.352795790845905,2156608.402416924
6,6,31631099.302079864,21000000.0,10500000.0,6.1811538461538476,4.077378977398633,0.0,0,0,1614771.1875424043,1427314.900301989,187456.2872404156,2.9999999999999992e-06,34588.50184574669,0,0.0,0.0,0,12.497770952047174,2470911.7281911112
7,7,31745252.47122277,21000000.0,10500000.0,6.1811538461538476,4.090256907607752,0.0,0,0,1616814.6285782561,1468184.5907208114,148630.03785744504,2.9999999999999992e-06,34585.45164908642,0,0.0,0.0,0,12.503648120047076,2911031.4605672867
8,8,31828420.77888981,21000000.0,10500000.0,6.1811538461538476,4.098623688213287,0.0,0,0,1618859.8201636556,704543.206029951,914316.6141337041,2.9999999999999992e-06,34582.393285657134,0,0.0,0.0,0,10.867500059854862,2094963.987675087
9,9,31888298.91102406,21000000.0,10500000.0,6.1811538461538476,4.103832454702511,0.0,1,0,1620907.491735537,871762.8106709261,749144.6810646107,2.9999999999999992e-06,34579.80986971179,0,0.0,0.0,0,12.75192949148853,2312225.462442592
10,10,31931157.30296171,21000000.0,10500000.0,6.1811538461538476,4.1077790789484085,0.0,1,0,1622957.0302960956,565049.5667467145,1057907.4635493816,2.9999999999999992e-06,34577.222707230714,0,0.0,0.0,0,7.987095284058729,1641130.1871594992
11,11,31962258.72003027,21000000.0,10500000.0,6.1811538461538476,4.110586779380751,0.0,2,0,1625007.9350952131,509700.314360759,1115307.6207344534,2.9999999999999992e-06,34574.80376093341,0,0.0,0.0,0,9.007425729321705,1378744.6057851377
12,12,31985944.049118694,21000000.0,10500000.0,6.1811538461538476,4.112609783074802,0.0,2,0,1627059.7845567656,574754.4469929114,1052305.337563854,2.9999999999999992e-06,34573.41100219247,0,0.0,0.0,0,8.898139439025702,1073283.811795308
13,13,32260521.793241348,21000000.0,10500000.0,6.1811538461538476,3.0896415696864308,0.0,2,0,1629112.2298166223,660185.5138939645,968926.715922658,2.9999999999999992e-06,34571.53344527395,0,0.0,0.0,0,7.1965512591993175,1160536.6597102163
14,14,32772837.366393264,21000000.0,10500000.0,6.1811538461538476,3.1072801084206323,0.0,2,0,1631144.2735635831,434380.14603970386,1196764.1275238795,2.9999999999999992e-06,34569.638450059174,0,0.0,0.0,0,8.507954850741118,1157528.0371438751
15,15,33512758.534108646,21000000.0,10500000.0,6.1811538461538476,3.1397141539569313,0.0,1,0,1633156.9119125667,474448.90765716304,1158708.0042554033,2.9999999999999992e-06,34567.71122107985,0,0.0,0.0,0,9.087186674224379,1173305.5028774128
16,16,34170334.881331526,21000000.0,10500000.0,6.1811538461538476,4.215321074851257,0.0,0,0,1635150.9019186362,254200.9691157936,1380949.9328028422,2.9999999999999992e-06,34564.70858549914,0,0.0,0.0,0,7.5415960306734355,1338344.73614621
17,17,34736847.44028887,21000000.0,10500000.0,6.1811538461538476,4.267036290709403,0.0,0,0,1637151.4646580054,244542.77265748108,1392608.6920005244,2.9999999999999992e-06,34561.48361130339,0,0.0,0.0,0,9.583846785428525,1481673.8878102577
18,18,35208084.67596948,21000000.0,10500000.0,6.1811538461538476,4.305547810292568,0.0,0,0,1639159.3355716323,132701.53874713506,1506457.7968244972,2.9999999999999992e-06,34558.22032598461,0,0.0,0.0,0,9.46069523173416,828404.3538871267
19,19,35603646.58745848,21000000.0,10500000.0,6.1811538461538476,4.264447378084141,0.0,1,0,1641174.8851280422,674117.8249967288,967057.0601313127,2.9999999999999992e-06,34554.99834153313,0,0.0,0.0,0,7.427459251910132,864314.4553073784
20,20,35923337.68791945,21000000.0,10500000.0,6.1811538461538476,4.286891636313013,0.0,2,0,1643196.5363229814,162619.9843611313,1480576.5519618501,2.9999999999999992e-06,34552.18213920553,0,0.0,0.0,0,6.339125779297999,644716.9809374687
21,21,35874431.19133152,21000000.0,10500000.0,6.1811538461538476,4.305180168866809,0.0,2,0,1645224.3273222176,330198.20619134564,1315026.1211308723,2.9999999999999992e-06,34549.34784885757,0,0.0,0.0,0,8.14100650352086,812333.3436113041
