,Step,Global_Price,Marginal_Cost,Cheapest_Active_Cost,Total_Processor_Inventory,Total_Mine_Output,Total_Recycled_Supply,Disrupted_Mines_Count,Mothballed_Mines_Count,Total_Consumer_Demand_Units,Fulfilled_Demand_Units,Unfulfilled_Demand_Units,Avg_Manufacturer_Intensity,Total_Reserves,Embargoed_Mines_Count,Total_Embargoed_Production,Total_Domestic_Stockpile,Closed_Chokepoints_Count,Total_In_Transit_Tons,Total_Product_Units_In_Transit
0,0,30355470.00738422,21000000.0,10500000.0,7.270628698224852,3.9766104859317983,0.0,0,0,1602564.102564103,1602564.102564103,0.0,2.9999999999999992e-06,34606.02338951407,0,0,0,0,18.455981787706946,2403846.1538461535
1,1,30660411.169464286,21000000.0,10500000.0,7.270628698224852,4.000947991371078,0.0,0,0,1604590.2382947477,1604590.2382947477,0.0,2.9999999999999992e-06,34603.06130250785,0,0,0,0,23.496646290732496,3888852.3863875293
2,2,30920966.249270678,21000000.0,10500000.0,7.271146599065102,4.021943276964747,0.0,0,0,1606620.3493365399,1606620.3493365399,0.0,2.9999999999999992e-06,34600.07841999699,0,0,0,0,30.51832513132774,5049114.3763120035
3,3,31353260.756308142,21000000.0,10500000.0,7.273070465527733,3.61357185959603,0.0,2,0,1608653.958108759,1400111.3267106463,208542.63139811324,2.9999999999999992e-06,34597.50410872288,0,0,0,0,25.760254546156897,3151157.014570965
4,4,31888785.56335868,21000000.0,10500000.0,7.273736658210738,3.5717639168798536,0.0,3,0,1610673.72657199,1167633.7806174746,443039.9459545159,2.9999999999999992e-06,34594.9718052493,0,0,0,0,21.14684891650756,2741734.5988646266
5,5,32467095.85257807,21000000.0,10500000.0,7.276179151323152,3.6012424615680483,0.0,3,0,1612685.1112413986,1057811.5497791849,554873.5614622142,2.9999999999999992e-06,34592.410223127255,0,0,0,0,21.24472236702202,2319739.257418143
6,6,33053009.93851232,21000000.0,10500000.0,7.277607887021365,3.6330329500273595,0.0,3,0,1614692.9465871989,1070928.5009892995,543764.4455978989,2.9999999999999992e-06,34589.81705045144,0,0,0,0,24.172703414596416,2932377.6728174435
7,7,33674267.648469634,21000000.0,10500000.0,7.279111310377899,3.4895341929192902,0.0,4,0,1616700.0549098584,1202295.9933074145,414404.06160244404,2.9999999999999992e-06,34587.367576505865,0,0,0,0,23.333880156898132,1870500.9970736543
8,8,34385820.202010475,21000000.0,10500000.0,7.280503784316825,3.520965949147317,0.0,3,0,1618704.1964515888,870440.986692426,748263.2097591625,2.9999999999999992e-06,34584.886870815644,0,0,0,0,23.67856901062267,1618172.3745096824
9,9,35194020.86193486,21000000.0,10500000.0,7.2816374012656535,3.5218035978464073,0.0,5,0,1620700.9234355823,924716.0798450192,695984.8435905626,2.9999999999999992e-06,34582.405527526775,0,0,0,0,26.436557063083473,2167348.90936686
10,10,36119610.81106198,21000000.0,10500000.0,7.282993364539359,3.477772862207388,0.0,6,0,1622689.6968209916,703811.2533557588,918878.4434652326,2.9999999999999992e-06,34579.96841506206,0,0,0,0,26.39175242395806,1755951.2100051327
11,11,37014784.42542315,21000000.0,10500000.0,7.284838531475413,3.521821332535224,0.0,6,0,1624668.8109751677,745148.1415599828,879520.6694151851,2.9999999999999992e-06,34577.48745425403,0,0,0,0,23.906375093936596,1667132.4863092382
12,12,37853505.81495793,21000000.0,10500000.0,7.286054351461294,3.5644608180295565,0.0,3,0,1626650.2107749404,614245.7188289802,1012404.4919459616,2.9999999999999992e-06,34574.96405412598,0,0,0,0,24.58969595772781,2036033.570061816
13,13,38531845.57609504,21000000.0,10500000.0,7.2873445477521015,3.9102091114918793,0.0,1,0,1628636.0167529725,575947.9265461408,1052688.0902068315,2.9999999999999992e-06,34572.09510590845,0,0,0,0,28.584350886515892,2533941.5804052777
14,14,38923908.825158976,21000000.0,10500000.0,7.288597917346686,4.348499541009154,0.0,2,0,1630634.6854993652,653285.0110542056,977349.674445159,2.9999999999999992e-06,34568.788067503876,0,0,0,0,26.27348111525241,2291686.3071490685
15,15,39005247.35521049,21000000.0,10500000.0,7.291629922005243,4.36304913008363,0.0,1,0,1632656.4995062225,963200.8619071624,669455.6375990608,2.9999999999999992e-06,34565.46667979123,0,0,0,0,27.36851854417949,2215461.1437826385
16,16,38793657.2999542,21000000.0,10500000.0,7.292913450674866,4.45720879589737,0.0,1,0,1634703.5330518703,654098.6873067252,980604.8457451445,2.9999999999999992e-06,34562.05133273226,0,0,0,0,28.100212873453525,2226514.8588467124
17,17,38646575.37206729,21000000.0,10500000.0,7.294397561374826,3.4236676835771593,0.0,1,0,1636774.4297768772,813463.6376816363,823310.7920952408,2.9999999999999992e-06,34559.66972714364,0,0,0,0,28.863902035113544,2329525.6935950215
18,18,38542942.738112904,21000000.0,10500000.0,7.295763219663162,3.4251177766605814,0.0,2,0,1638840.1047318752,727854.4658528875,910985.6388789874,2.9999999999999992e-06,34557.286871858494,0,0,0,0,31.449164296098246,2889025.12257434
